ID,Category,Points,Question,Answer,
1,Education,100,Shif holds a Bachelor of Science in which subject?,Business analytics & information technology (BAIT),
2,Education,200,Zack holds a Bachelor of Science in which subject?,Trick question; Zack studied computer science but didn't finish his degree,
3,Education,300,Shif and Zack attended high schools that fall under which umbrella school?,JEC,
4,Education,400,Which educational game did Zack start working on at 16 that won a `Most Educational Game` award (whatever that means)?,Lua Learning,
5,Education,500,What is the crowning achievement of Shif's career?,What is the crowning achievement of Shif's career?,
6,Education,600,Name the entire Saturdata team and the only person who had the podcast show up in their Spotify Wrapped (4 people total),"Team: Shif, Sam, Eli. Spotify Wrapped: Eitan Hiller",Change to What is Shif's podcast called?
7,Technology,100,Do Shif and Zack have iPhones or Android phones?,Android,
8,Technology,200,What's the most expensive piece of technology that Shif and Zack own?,Massage chair,
9,Technology,300,"Technically, Shif worked at 3 different tech companies in 2025. Name at least 2.","Sigma, Ascend, Render",
10,Technology,400,Name Shif's and Zack's first programming languages.,Zack's first language was Lua and Shif's first language was C++; accept Python for Shif as well,
11,Technology,500,How many times did Zack intern at Roblox?,5,
12,Technology,600,What is the name of the Shack home server?,Blackbox,
13,Travel,100,When did Shif and Zack move to California (month and year)?,January 2024,
14,Travel,200,Where did Shif and Zack take an international trip in late 2023 (city and country)?,"Rome, Italy",
15,Travel,300,What's the coolest place Shif and Zack traveled for work?,Hawaii,
16,Travel,400,Where was Shif born (US state)?,Illinois,
17,Travel,500,Where was Shif and Zack's first date?,"The Strand bookstore, New York City",
18,Travel,600,"What mode of transportation did Shif regrettably take on their trip from the San Francisco area to LA, and what went wrong?",Flix bus; it left all of us stranded at the Hollywood walk of fame with no refund and no recourse,
19,Art & music,100,What is Shif's all-time favorite band?,Fall Out Boy,
20,Art & music,200,What are Shif's main musical skills?,Vocals and bass,
21,Art & music,300,Who is Zack's favorite comedian on Dropout?,Brennan Lee Mulligan,
22,Art & music,400,What is the name of Zack's Roblox gamejam team?,Titanic in a Bottle,
23,Art & music,500,Which artist was Zack's first concert?,Sammy Ray & the Friends,
24,Art & music,600,What does Shif's arm tattoo mean?,It references the Hayley Williams album Petals for Armor and symbolizes that someone's goodness and vulnerability is their inner strength,
25,Food,100,What is Shif's favorite drink?,Boba!,
26,Food,200,What is Zack's favorite food?,Burgers,
27,Food,300,Which spicy soft drink are Zack and Shif obsessed with?,Ginger beer,
28,Food,400,What is Zack's least favorite food that Shif constantly makes fun of?,Tomatoes,
29,Food,500,"Which of the following is medically safe for Zack to eat: Dairy, garlic, shellfish?",Shellfish,
30,Food,600,Name a food that Shif and Zack can both eat in a medically safe manner AND enjoy?,Open-ended; we'll see what we get,
